artista,resumen,popularidad,reproducciones,similares
Cuchillazo,"Cuchillazo es una banda musical de Perú, formada en el 2002. A lo largo de su historia han cosechado hitos, entre los más destacados se encuentra el de ser teloneros la banda sueca The Hives y apariciones donde compartieron escenarios con bandas como A.N.I.M.A.L, Sepultura, y Puddle of Mudd.
-Integrantes:
  Nicolás Duarte Soldevilla (guitarra y voz)
  Rafael Otero (bajo)
  Capi Baigorria (batería y voz)
 <a href=""https://www.last.fm/music/Cuchillazo"">Read more on Last.fm</a>",8311,176350,"['La Sarita', 'Leusemia', 'Chabelos', 'Cementerio Club', 'Diazepunk']"
Jay Chou,"***From wikipedia***
Jay Chou (traditional Chinese: 周杰倫; simplified Chinese: 周杰伦; pinyin: Zhōu Jiélún; Wade-Giles: Chou Chieh-lun; Pe̍h-ōe-jī: Chiu Kia̍t-lûn) (born January 18, 1979) is a Taiwanese musician, singer, producer, actor and director who has won the World Music Award four times. He is well-known for composing all his own songs and songs for other singers. In 1998 he was discovered in a talent contest where he displayed his piano and song-writing skills. <a href=""https://www.last.fm/music/+noredirect/Jay+Chou"">Read more on Last.fm</a>",81461,5473907,[]
Club Dogo,"CLUB DOGO from Milano, Italy, is formed by mc's Jake La Furia, Guè Pequeno and the veteran top-producer DON JOE. Joe has no biases when it comes to production. Any sound, from 80s electro to soul and funky riffs or a traditional Italian song is fair game, providing a richness and versatility rarely to be experienced in other national and international producers. Witnessing this uniqueness, Don Joe is one of the most sought-after European Hip Hop producers <a href=""https://www.last.fm/music/Club+Dogo"">Read more on Last.fm</a>",44618,2146264,"['Guè', 'Marracash', 'Noyz Narcos', 'Kid Yugi', 'Salmo']"
Nando Reis,"Nando Reis (born on January 12, 1963) is a Brazilian musician and producer, best known as the former bassist of Brazilian rock band Titãs and for his successful solo career, with his own band called Nando Reis e os Infernais. He has also produced a few albums, including some related to Cássia Eller, who has made several significant partnerships with him, and Marisa Monte. <a href=""https://www.last.fm/music/Nando+Reis"">Read more on Last.fm</a>",403064,10197852,"['Frejat', 'Cássia Eller', 'Jota Quest', 'Skank', 'Lulu Santos']"
t.A.T.u.,"t.A.T.u. were a Russian pop duo consisting of Lena Katina and Julia Volkova. The two started out as part of the children's musical group Neposedy before being managed by producer and director Ivan Shapovalov and signing with Russian record label Neformat. t.A.T.u.'s debut album 200 по встречной (2001) was a commercial success in Eastern Europe, and that resulted in the duo signing with Interscope Records to release its English-language counterpart, 200 km/h in the Wrong Lane (2002). <a href=""https://www.last.fm/music/t.A.T.u."">Read more on Last.fm</a>",1726613,38200084,"['Lena Katina', 'SEREBRO', 'Линда', 'Винтаж', 'Reflex']"
Belanova,"Belanova is a Mexican electropop band formed in Guadalajara, Mexico in 2000 by Denisse Guerrero (voice) originally from Los Mochis, Sinaloa (Mexico), Edgar Huerta (programming and keyboards) and Ricardo ""Richie"" Arreola (bass and guitar), both from Guadalajara, Jalisco, Mexico.
Their first album ""Cocktail"" was released in 2003. The first single called ""Tus Ojos"" had massive airplay on TV, being used on a Mitsubishi TV spot. 
In 2005, they released their second album called ""Dulce Beat"" <a href=""https://www.last.fm/music/Belanova"">Read more on Last.fm</a>",396459,9464291,"['Paty Cantú', 'Julieta Venegas', 'Belinda', 'Playa Limbo', 'Maria Daniela Y Su Sonido Lasser']"
Visionaries,"There are more than one band with this name.
1) Los Angeles hip hop.
2) Florida death metal

It may also be an incorrect artist tag for The Visionaries. If so, do last.fm and yourself a favour and fix your artist tags.

1) Visionaries is a political hip hop group from Los Angeles, California. The group is notable for focusing on positive issues as well as the diverse ethnic origins of its members. The group formed in 1995, and have since released four full-length albums on Up Above Records. <a href=""https://www.last.fm/music/Visionaries"">Read more on Last.fm</a>",52400,477926,"['2Mex', 'LMNO', 'Zion I & The Grouch', 'Abstract Rude', 'Sunspot Jonz']"
Makale,"Makale is a Turkish-Swiss-Italian hip hop crew from Basel, Switzerland. Original members are Casus (b. 13.11.1983; which is Turkish for 'spy') and Cesaret (b. 16.4.1982; which is Turkish for 'courage'; Evren Sarikaya). They first appeared on the compilation ""Dar Beïda 04 - Impiria Consequential"" (2001). Their innovative debut album soon followed - the first Turkish rap album from Switzerland. It contains influences from ragamuffin and electronica and was mainly produced by Pat Jabbar and DJ Ace. <a href=""https://www.last.fm/music/Makale"">Read more on Last.fm</a>",928,6440,"['Fuat', 'Rapozof', 'Pit10', 'Mode XL', 'Kolera']"
Natalia Lafourcade,"María Natalia Lafourcade Silva (born 26 February 1984) is a Mexican pop and folk singer-songwriter who since her debut in 2003 has been one of the most successful singers in Latin America. Lafourcade's voice has been categorized as a lyric soprano.

Lafourcade was born in Mexico City, Mexico, surrounded by music and art. Her father is the Chilean musician Gastón Lafourcade who had French parents and her mother is the pianist María del Carmen Silva Contreras. <a href=""https://www.last.fm/music/Natalia+Lafourcade"">Read more on Last.fm</a>",627208,20450908,"['Natalia y La Forquetina', 'Mon Laferte', 'Silvana Estrada', 'Julieta Venegas', 'Ximena Sariñana']"
Eliane Elias,"Eliane Elias (b. 1960) is a Brazilian jazz composer, pianist, and singer.

Born on the 19th March 1960 in São Paulo, Brazil, Elias started learning to play the piano at the age of seven, and was transcribing solo portions of her parents’ jazz records by the age of twelve.  

After studying for six  years (and teaching by the age of fifteen) at Brazil’s prestigious Free Centre of Music Apprenticeship, she continued her classical education with Amilton Godoy and Amaral Vieria. <a href=""https://www.last.fm/music/Eliane+Elias"">Read more on Last.fm</a>",295411,2699641,"['Karrin Allyson', 'Stacey Kent', 'Jane Monheit', 'Viktoria Tolstoy', 'Sophie Milman']"
Molly Johnson,"
Molly Johnson has earned her reputation as one of Canada's greatest voices. 

She has won numerous awards and inspired many to donate their time and money to countless charities around the globe. Her accomplishments in blues, jazz and rock have moved audiences across the country. Her talents have led to collaborations, as both singer and songwriter, with internationally acclaimed artists as well as local friends and heroes.  

Molly Johnson has rocked standing-room only audiences in nightclubs and bars from coast-to-coast as a pop artist <a href=""https://www.last.fm/music/Molly+Johnson"">Read more on Last.fm</a>",158731,1091516,"['Sophie Milman', 'Halie Loren', 'Stacey Kent', 'Kat Edmonson', 'Eliane Elias']"
Canelita,"Canelita (born Jonathan Vera in 1990) is a Spanish flamenco singer. He hails from the barrio of Bajadilla, in Algeciras, southeastern Spain. He was discovered by another native of Algeciras, Paco de Lucia, when he was a boy and began recording as a teenager, with early releases such as Vivo Errante (2004) and Canelita por mi calle (2005). His album, Vuelvo, released in November 2010, alternates traditional flamenco singing ballads and pop tunes, seeking to reach a mass audience. <a href=""https://www.last.fm/music/Canelita"">Read more on Last.fm</a>",16647,170755,"['EL PELOS', 'Parrita', 'La Húngara', 'Potito', 'Nolasco']"
Portico Quartet,"Portico Quartet is a British instrumental band based in London. Formed in 2005, they are known for their use of the Hang, a modern percussion instrument. Their debut album, Knee-Deep in the North Sea, was nominated for the 2008 Mercury Prize and was Time Out’s Jazz, Folk and World album of the year 2007. Of the original members, Nick Mulvey left in August 2014 for a solo career and the other three released an album in 2015 as Portico. The band subsequently <a href=""https://www.last.fm/music/+noredirect/Portico+Quartet"">Read more on Last.fm</a>",229652,4050072,"['Mammal Hands', 'GoGo Penguin', 'Lund Quartet', 'Matthew Halsall', 'Foehn Trio']"
Mike Mictlan,"Mike Mictlan (pronounced meek-lawn) originally hails from Los Angeles, where he began rapping at an early age. By ten he had already decided that it was all he ever wanted to do with his life, and he's stuck to that path through all of the ups and downs. In the mid-nineties Mike spent a year with family in Minneapolis, Minnesota, during which time he befriended several future Doomtree crew members, among them P.O.S, who credits Mictlan with teaching him how to rap. <a href=""https://www.last.fm/music/Mike+Mictlan"">Read more on Last.fm</a>",9954,155342,"['Lazerbeak', 'Mike Mictlan and Lazerbeak', 'Four Fists', 'Mixed Blood Majority', 'Paper Tiger']"
DJ Ice,"DJ Ice (Sam White) is a remixing DJ from Stubbington,Fareham. He rarely publishes his work publicly, but his most popular releases include the remix of ""Destination Calabria"", ""Miracle"" and ""Shine"".

DJ Ice says that he is currently working on a 2CD-Album of his Dance remixes - That will be released to the public somewhen in summer 2007. <a href=""https://www.last.fm/music/DJ+Ice"">Read more on Last.fm</a>",2065,13900,"['Elly Mangat', 'Sol Ray & Dark By Design', 'PAM Sengh', ""Masif DJ's"", 'Dark By Design']"
Daddy Yankee,"Ramón ""Raymond"" Luis Ayala Rodríguez (born February 3, 1977), known artistically as Daddy Yankee, is a Latin Grammy Award winning Puerto Rican reggaeton recording artist. Ayala was born in Río Piedras, the largest district of San Juan, Puerto Rico, where he became interested in music at a young age. In his youth he was interested in baseball, and aspired to become a Major League Baseball player. He was unable to continue this sport when he got shot in the leg by being mistaken for his friend by a unknown man <a href=""https://www.last.fm/music/Daddy+Yankee"">Read more on Last.fm</a>",1748017,35488633,"['Don Omar', 'Wisin & Yandel', 'Plan B', 'Nicky Jam', 'Yandel']"
The Fratellis,"The Fratellis is an alternative rock band from Glasgow, Scotland who took their name from the villains in the film ""The Goonies"" (although, by coincidence, Barry's mother's maiden name is in fact Fratelli). The band consisted of lead vocalist and guitarist Jon Fratelli (real name John Lawler), bass guitarist Barry Fratelli (real name Barry Wallace), and drummer, backing vocalist, occasional guitarist and banjo player Mince Fratelli (real name Gordon McRory). <a href=""https://www.last.fm/music/The+Fratellis"">Read more on Last.fm</a>",2023408,42909533,"['Jon Fratelli', 'Dirty Pretty Things', 'Kaiser Chiefs', 'The Pigeon Detectives', 'The Kooks']"
Rojo,"There are several artists named ""Rojo"";

1) ""Rojo"" was a band from Hermosillo (Mexico) formed in 2000 by bassist Emmanuel Espinosa, with their eponymous debut album released in 2001.  Emmanuel is also the founder of Reyvol Records. The band split in 2012.

2) ""Rojo"" is an Australian rapper/singer/writer from Brisbane, based in the Gold Coast.

https://soundcloud.com/rojo-lc

1) Since their youth in the early 90s, Emmanuel Espinosa and Rubén González thought about starting their own band. <a href=""https://www.last.fm/music/Rojo"">Read more on Last.fm</a>",25728,397800,"['Danilo Montero', 'Marco Barrientos', 'En espíritu y en verdad', 'Lilly Goodman', 'Pablo Olivares']"
Cristian Castro,"Cristian Castro (born Cristian Sáenz Castro on December 8th, 1974 in Mexico City) is a Grammy Award-nominated Mexican pop singer, songwriter and actor. He is sometimes simply known as Cristian or ""el Gallito Feliz"" (Spanish: ""The Happy Little Rooster""). He is also the lead singer of Mexican heavy metal band La Esfinge (under the pseudonym ""Lügh Draculea""), formed in 2014 along with ex-Maná and ex-Jaguares guitarist César ""Vampiro"" López.

Castro added the ""h"" to his first name for the release of his successful album <a href=""https://www.last.fm/music/Cristian+Castro"">Read more on Last.fm</a>",236112,3204284,"['Chayanne', 'Ricardo Montaner', 'Sin Bandera', 'Alejandro Fernández', 'Alex Ubago']"
Esto es Eso,"Esto es Eso is fresh, unique and altogether “Ecuafornian”, tastefully incorporating classic Ecuadorian guitar music into a mix of hip hop, rock, blues, and reggae. Max Epstein (from Los Angeles, California) had been living in Quito - Ecuador for 3 years when he met local Luis Villamarin. They clicked immediately, and began creating “pasillo-hop”: Spanish-language, nostalgic guitar music combined with urban beats, beatboxing, and English-language rap lyrics. <a href=""https://www.last.fm/music/Esto+es+Eso"">Read more on Last.fm</a>",4366,53768,"['Guardarraya', 'Equilivre', 'Rocola Bacalao', 'Los Corrientes', 'AU-D']"
La Terrifica,"La Terrifica later know as Orquesta La Terrífica was founded In 1972 by Joe Rodriguez , after a disagreement with Enrique 'Quique' Lucca (founder of Sonora Ponceña), Joe directed the organization of another musical group, originally called ""Los Terríficos"", a name that was soon changed by Orquesta La Terrífica. Together with Joe Rodriguez, they also left Sonora Ponceña, Tito Gomez (singer), Francisco Alvarado (bongosero) and others. Under the production of Larry Harlow and the label Fania <a href=""https://www.last.fm/music/La+Terrifica"">Read more on Last.fm</a>",1187,6481,"['Impacto Crea', 'Tommy Olivencia y Su Orquesta', 'Chivirico Davila', 'Ismael Quintana', 'Willie Rosario']"
